Player,Team,G,GS,Min,Poss,%Tm,PTS,FGM,FGA,FGPct,3PM,3PA,P3Pct,FTM,FTA,FTPct,Tot,Def,Off,AST,PF,TO,BLK,STL,Elig,Position,Jersey,ESPN_ID
AJ Dybantsa,BYU,35,35,34.5,19.6,26.90%,25.5,8.8,17.3,51.00%,1.4,4.2,33.10%,6.5,8.5,77.40%,6.8,5.4,1.5,3.7,1.2,3.1,0.3,1.1,FR,F,3,5142718
Dior Johnson,TARL,20,2,26.2,16.3,21.80%,24.0,7.3,14.2,51.80%,1.4,2.6,53.80%,7.9,9.3,84.90%,3.3,2.5,0.8,1.6,2.2,2.2,0.1,1.2,UNK,,,
Jordan Riley,ECU,30,30,37.8,20.7,28.50%,23.6,8.2,19.6,41.90%,1.1,3.6,30.60%,6.1,8.6,71.20%,6.0,4.5,1.5,2.5,1.8,2.3,0.5,1.9,SR,G,12,4683942
P.J. Haggerty,KSU,31,31,35.2,20.0,26.40%,23.4,8.7,17.8,49.00%,1.3,3.6,35.40%,4.6,6.6,70.10%,5.3,4.0,1.2,3.8,2.6,3.3,0.0,1.2,JR,G,4,5106275
Daeshun Ruffin,JSU,28,28,33.5,21.1,28.50%,23.3,7.3,17.0,42.60%,1.5,5.0,30.90%,7.2,8.6,84.20%,2.8,2.3,0.5,5.3,2.1,3.8,0.1,1.6,UNK,,,
Dominique Daniels Jr.,CBU,32,32,36.0,18.1,25.80%,23.1,7.8,18.0,43.70%,1.9,5.8,32.40%,5.5,6.8,81.50%,3.7,2.9,0.8,3.1,1.8,2.5,0.1,1.0,SR,G,1,5178207
Nick Martinelli,NU,33,33,35.6,16.7,25.00%,23.0,8.1,15.9,51.00%,1.4,3.3,41.70%,5.4,6.7,80.90%,6.2,3.9,2.2,2.0,2.3,1.4,0.4,0.8,SR,F,2,5105832
"Darius Acuff, Jr.",ARK,34,34,35.2,17.4,23.30%,23.0,7.9,16.3,48.60%,2.6,5.8,44.40%,4.6,5.7,80.80%,3.1,2.7,0.5,6.5,1.6,2.2,0.3,0.8,FR,G,5,5142620
Ebuka Okorie,STAN,30,30,34.3,16.7,24.40%,22.5,7.2,15.8,45.90%,2.1,5.7,36.50%,6.0,7.1,84.10%,3.6,2.9,0.7,3.5,1.3,1.8,0.3,1.5,FR,G,1,5258459
Cameron Boozer,DUKE,35,35,33.2,16.1,23.50%,22.5,7.6,13.6,56.00%,1.5,3.8,40.20%,5.8,7.4,78.30%,10.3,6.9,3.4,4.0,1.7,2.4,0.5,1.5,FR,F,12,5041935
