Player,Pos,Elig,Height,Weight,On3Rating,Status,LastTeam,NewTeam,Hometown,Source,DateEntered,LastUpdated,UniqueKey
Donnie Freeman,PF,SO,6-9,200,98.77,Entered,SYR,,"Washington, DC",On3,2026-04-08,2026-04-12 10:02,donnie freeman
Omaha Biliew,PF,JR,6-8,215,98.68,Entered,WFU,,"Waukee, IA",On3,2026-04-08,2026-04-08 07:20,omaha biliew
Flory Bidunga,C,SO,6-9,215,98.49,Entered,KAN,,,On3,2026-04-04,2026-04-12 10:02,flory bidunga
Arterio Morris,PG,SR,6-3,190,98.26,Entered,BCU,,"Dallas, TX",On3,2026-04-04,2026-04-08 07:20,arterio morris
Mor Massamba Diop,C,FR,6-11,,98.09,Entered,Arizona State,,,On3,2026-04-12,2026-04-12 10:02,mor massamba diop
Juke Harris,SG,SO,7-6,200,98.08,Entered,WFU,,"Salisbury, NC",On3,2026-04-04,2026-04-12 10:02,juke harris
Nikolas Khamenia,SF,FR,6-8,210,97.81,Entered,DUKE,,"Studio City, CA",On3,2026-04-12,2026-04-12 10:02,nikolas khamenia
John Blackwell,SG,JR,6-3,175,97.72,Expected,WIS,,"Bloomfield Hills, MI",On3,2026-04-08,2026-04-08 07:20,john blackwell
Rob Wright,PG,SO,,180,97.64,Entered,BYU,,"Philadelphia, PA",On3,2026-04-12,2026-04-12 10:02,rob wright
Paulius Murauskas,PF,JR,6-8,220,97.31,Entered,SMC,,,On3,2026-04-08,2026-04-08 07:20,paulius murauskas
Elijah Fisher,SG,SR,6-6,190,97.19,Entered,SHU,,"Toronto, ON",On3,2026-04-12,2026-04-12 10:02,elijah fisher
Elmarko Jackson,PG,JR,6-4,200,97.14,Entered,KAN,,"Marlton, NJ",On3,2026-04-08,2026-04-08 07:20,elmarko jackson
Miles Byrd,SG,RS-JR,6-6,165,96.83,Committed,San Diego State,Providence Friars,"Stockton, CA",On3,2026-04-04,2026-04-12 10:02,miles byrd
David Punch,PF,SO,7-6,,96.8,Entered,TCU,Texas,"Harker Heights, TX",On3,2026-04-12,2026-04-12 10:02,david punch
Allen Graves,PF,RS-FR,6-9,,96.74,Entered,Santa Clara University,,"Ponchatoula, LA",On3,2026-04-12,2026-04-12 10:02,allen graves
Dennis Evans,C,JR,7-1,210,96.68,Entered,GCU,,"Riverside, CA",On3,2026-04-04,2026-04-08 07:20,dennis evans
Langston Love,SG,RS-SR,6-4,190,96.68,Expected,GTWN,,"San Antonio, TX",On3,2026-04-08,2026-04-08 07:20,langston love
Skyy Clark,PG,SR,6-3,200,96.67,Entered,UCLA,,"Los Angeles, CA",On3,2026-04-08,2026-04-08 07:20,skyy clark
Baye Fall,C,JR,6-10,205,96.6,Entered,RUTG,,,On3,2026-04-12,2026-04-12 10:02,baye fall
Mookie Cook,SF,JR,7-6,200,96.58,Entered,SF,,"Jefferson, OR",On3,2026-04-04,2026-04-08 07:20,mookie cook
Stefan Vaaks,SG,FR,7-6,206,96.5,Entered,PROV,,,On3,2026-04-08,2026-04-12 10:02,stefan vaaks
Isaiah Johnson,PG,FR,6-1,170,96.5,Committed,COL,,"Valley Village, CA",On3,2026-04-04,2026-04-12 10:02,isaiah johnson
Moustapha Thiam,C,SO,7-1,200,96.47,Entered,CIN,,,On3,2026-04-08,2026-04-12 10:02,moustapha thiam
Aiden Sherrell,C,SO,6-11,220,96.47,Expected,ALA,,"Detroit, MI",On3,2026-04-08,2026-04-08 07:20,aiden sherrell
DeShawn Harris-Smith,SG,JR,5-6,205,96.44,Expected,GTWN,,"Fairfax, VA",On3,2026-04-04,2026-04-04 14:36,deshawn harrissmith
Jackson Shelstad,PG,JR,6-1,170,96.36,Entered,ORE,,"West Linn, OR",On3,2026-04-08,2026-04-12 10:02,jackson shelstad
Dedan Thomas,PG,JR,6-1,170,96.33,Committed,LSU,,"Las Vegas, NV",On3,2026-04-08,2026-04-12 10:02,dedan thomas
Simeon Wilcher,SG,JR,6-4,185,96.23,Entered,TEX,,"Roselle, NJ",On3,2026-04-12,2026-04-12 10:02,simeon wilcher
Terrance Arceneaux,SG,RS-JR,,190,96.16,Entered,NCSU,,"Beaumont, TX",On3,2026-04-12,2026-04-12 10:02,terrance arceneaux
Somto Cyril,C,SO,6-11,260,96.1,Entered,UGA,,,On3,2026-04-04,2026-04-08 07:20,somto cyril
Darren Harris,SF,SO,6-6,195,96.08,Expected,DUKE,,"Herndon, VA",On3,2026-04-08,2026-04-12 10:02,darren harris
Neoklis Avdalas,CG,FR,7-6,187,96.05,Entered,VT,,,On3,2026-04-08,2026-04-08 07:20,neoklis avdalas
Markus Burton,PG,JR,5-10,,96.03,Entered,Notre Dame,,"Mishawaka, IN",On3,2026-04-08,2026-04-08 07:20,markus burton
Cam Scott,SG,SO,6-6,,95.99,Entered,South Carolina,,"Lexington, SC",On3,2026-04-12,2026-04-12 10:02,cam scott
Najai Hines,PF,FR,6-10,230,95.98,Entered,SHU,,"Garner, NC",On3,2026-04-08,2026-04-08 07:20,najai hines
Terrence Hill Jr.,PG,SO,6-3,180,95.97,Entered,VCU,,"Portland, OR",On3,2026-04-04,2026-04-08 07:20,terrence hill
Mouhamed Sylla,C,FR,6-10,240,95.92,Expected,GT,,,On3,2026-04-04,2026-04-08 07:20,mouhamed sylla
KJ Lewis,SG,JR,6-4,185,95.88,Entered,GTWN,,"El Paso, TX",On3,2026-04-08,2026-04-12 10:02,kj lewis
Paul McNeil,SG,SO,6-6,185,95.88,Expected,NCSU,,"Rockingham, NC",On3,2026-04-12,2026-04-12 10:02,paul mcneil
Kayden Mingo,CG,FR,6-1,,95.8,Entered,Penn State,,"Glen Head, NY",On3,2026-04-12,2026-04-12 10:02,kayden mingo
Kwame Evans Jr.,PF,JR,6-10,200,95.8,Entered,ORE,,"Baltimore, MD",On3,2026-04-08,2026-04-12 10:02,kwame evans
Xavion Staton,C,FR,7-0,210,95.79,Expected,BYU,,"Las Vegas, NV",On3,2026-04-12,2026-04-12 10:02,xavion staton
Sananda Fru,PF,FR,6-11,245,95.79,Entered,LOU,,,On3,2026-04-04,2026-04-12 10:02,sananda fru
Frankie Collins,PG,SR,6-1,180,95.77,Entered,VAN,,"Henderson, NV",On3,2026-04-08,2026-04-08 07:20,frankie collins
Collin Chandler,CG,SO,6-4,170,95.74,Committed,UK,,"Farmington, UT",On3,2026-04-12,2026-04-12 10:02,collin chandler
Dusty Stromer,SG,JR,6-6,180,95.63,Entered,GCU,,"Sherman Oaks, CA",On3,2026-04-04,2026-04-08 07:20,dusty stromer
Acaden Lewis,PG,FR,6-2,185,95.47,Entered,NOVA,,"Washington, DC",On3,2026-04-08,2026-04-12 10:02,acaden lewis
Wes Enis,PG,JR,6-2,200,95.46,Entered,USF,,"Conover, OH",On3,2026-04-04,2026-04-08 07:20,wes enis
Jason Asemota,SF,SO,6-8,190,95.39,Entered,BC,,"Lynn, MA",On3,2026-04-12,2026-04-12 10:02,jason asemota
Isaiah Elohim,SG,SO,5-6,205,95.38,Entered,FAU,,"Kingston, NY",On3,2026-04-04,2026-04-08 07:20,isaiah elohim
Scotty Middleton,SF,JR,7-6,180,95.33,Entered,TUL,,"Miami, FL",On3,2026-04-08,2026-04-08 07:20,scotty middleton
Chris Johnson,PG,JR,6-4,,95.33,Entered,UCF,,"Missouri City, TX",On3,2026-04-12,2026-04-12 10:02,chris johnson
Naas Cunningham,SF,SO,7-6,180,95.33,Expected,UNLV,,"West Orange, NJ",On3,2026-04-04,2026-04-08 07:20,naas cunningham
Jerry Easter,CG,FR,6-4,185,95.28,Expected,USC,,"Toledo, OH",On3,2026-04-04,2026-04-04 14:36,jerry easter
Jamari Phillips,SG,SO,6-4,185,95.26,Entered,ORE,,"Modesto, CA",On3,2026-04-12,2026-04-12 10:02,jamari phillips
Matt Able,SG,FR,6-4,180,95.1,Entered,,,"Tampa, FL",On3,2026-04-08,2026-04-08 07:20,matt able
Jaeden Mustaf,CG,SO,5-6,205,95.08,Expected,GT,,"Bowie, MD",On3,2026-04-04,2026-04-08 07:20,jaeden mustaf
Zoom Diallo,PG,SO,6-3,190,95.04,Entered,WASH,,"Tacoma, WA",On3,2026-04-08,2026-04-12 10:02,zoom diallo
Arrinten Page,PF,JR,6-9,225,95.04,Expected,NU,,"Marietta, GA",On3,2026-04-04,2026-04-04 14:36,arrinten page
David Castillo,PG,SO,6-1,170,95.03,Expected,KSU,,"Bartlesville, OK",On3,2026-04-04,2026-04-04 14:36,david castillo
Rowan Brumbaugh,PG,SR,6-4,180,95.01,Expected,TUL,,"Northfield, MA",On3,2026-04-08,2026-04-08 07:20,rowan brumbaugh
Samet Yigitoglu,C,SO,7-1,,94.97,Entered,SMU,South Carolina,,On3,2026-04-08,2026-04-12 10:02,samet yigitoglu
JP Estrella,PF,RS-SO,6-11,210,94.93,Committed,TENN,,"South Portland, ME",On3,2026-04-08,2026-04-12 10:02,jp estrella
JJ Mandaquit,PG,FR,6-1,190,94.79,Expected,WASH,,"Hilo, HI",On3,2026-04-04,2026-04-04 14:36,jj mandaquit
Jeremiah Wilkinson,PG,SO,6-0,175,94.72,Entered,UGA,,"Atlanta, GA",On3,2026-04-04,2026-04-08 07:20,jeremiah wilkinson
Leroy Blyden Jr.,PG,FR,6-1,165,94.63,Entered,TOL,,"Detroit, MI",On3,2026-04-04,2026-04-08 07:20,leroy blyden
Alex Wilkins,SG,FR,5-6,175,94.63,Expected,FUR,,"Mattapan, MA",On3,2026-04-04,2026-04-08 07:20,alex wilkins
Terrence Brown,SG,JR,6-3,175,94.57,Entered,Utah,,"Minneapolis, MN",On3,2026-04-08,2026-04-12 10:02,terrence brown
Drew Scharnowski,PF,RS-SO,6-8,195,94.56,Entered,BELM,,"Camp Point, IL",On3,2026-04-08,2026-04-12 10:02,drew scharnowski
Isaiah Abraham,SF,SO,7-6,195,94.54,Entered,GTWN,,"Gainesville, VA",On3,2026-04-08,2026-04-08 07:20,isaiah abraham
Oswin Erhunmwunse,C,SO,6-9,210,94.51,Committed,PROV,,,On3,2026-04-04,2026-04-12 10:02,oswin erhunmwunse
Chance Westry,SF,SR,6-6,,94.49,Entered,UAB,,"Harrisburg, PA",On3,2026-04-12,2026-04-12 10:02,chance westry
Nic Codie,PF,SO,6-8,200,94.48,Entered,TEX,,"Carrollton, TX",On3,2026-04-12,2026-04-12 10:02,nic codie
Robert Miller III,PF,SO,6-10,225,94.47,Expected,LSU,,"Houston, TX",On3,2026-04-12,2026-04-12 10:02,robert miller
Kamari Lands,SF,SR,6-8,,94.45,Entered,Middle Tennessee State,,"Indianapolis, IN",On3,2026-04-12,2026-04-12 10:02,kamari lands
Isa Silva,PG,RS-SR,6-4,185,94.38,Entered,,,"Napa, CA",On3,2026-04-12,2026-04-12 10:02,isa silva
Jaden Schutt,SG,SR,5-6,180,94.36,Entered,VT,,"Yorkville, IL",On3,2026-04-04,2026-04-08 07:20,jaden schutt
Leon Bond,SF,SR,5-6,180,94.35,Committed,UNI,,"Milwaukee, WI",On3,2026-04-08,2026-04-12 10:02,leon bond
Taylor Bol Bowen,PF,JR,6-9,195,94.32,Expected,,,"Jericho, VT",On3,2026-04-08,2026-04-08 07:20,taylor bol bowen
Sam Walters,PF,JR,6-9,180,94.32,Entered,SMU,,"The Villages, FL",On3,2026-04-04,2026-04-08 07:20,sam walters
Jizzle James,PG,JR,6-2,180,94.25,Entered,CIN,,"Orlando, FL",On3,2026-04-12,2026-04-12 10:02,jizzle james
Baye Ndongo,PF,JR,6-9,220,94.24,Expected,GT,,"Denver, CO",On3,2026-04-04,2026-04-08 07:20,baye ndongo
Christian Hammond,PG,RS-SO,6-3,180,94.23,Entered,SCU,,"Denver, CO",On3,2026-04-08,2026-04-08 07:20,christian hammond
Jamier Jones,SF,FR,6-6,210,94.23,Expected,PROV,,"Sarasota, FL",On3,2026-04-04,2026-04-08 07:20,jamier jones
Jalen Haralson,SF,FR,6-6,210,94.22,Entered,ND,,"Anderson, IN",On3,2026-04-04,2026-04-08 07:20,jalen haralson
Winters Grady,SF,FR,6-6,200,94.22,Entered,MICH,,"Lake Oswego, OR",On3,2026-04-12,2026-04-12 10:02,winters grady
Keanu Dawes,PF,JR,6-8,205,94.21,Expected,UTAH,,"Houston, TX",On3,2026-04-04,2026-04-08 07:20,keanu dawes
Finley Bizjack,CG,JR,6-3,170,94.21,Entered,BUT,,"Trophy Club, TX",On3,2026-04-04,2026-04-08 07:20,finley bizjack
Bryson Tiller,PF,FR,6-9,230,94.18,Entered,KAN,,"Atlanta, GA",On3,2026-04-08,2026-04-08 07:20,bryson tiller
Alvaro Folgueiras,PF,JR,6-9,,94.17,Expected,Iowa,,,On3,2026-04-12,2026-04-12 10:02,alvaro folgueiras
Jake Hall,SF,FR,6-3,180,94.16,Expected,UNM,,"Carlsbad, CA",On3,2026-04-12,2026-04-12 10:02,jake hall
Karter Knox,SF,SO,6-6,211,94.15,Expected,ARK,,"Riverview, FL",On3,2026-04-04,2026-04-08 07:20,karter knox
Roberts Blums,SG,SO,6-4,190,94.15,Expected,DAV,,,On3,2026-04-08,2026-04-08 07:20,roberts blums
LeJuan Watts,SF,RS-JR,6-6,235,94.15,Entered,TTU,,"Fresno, CA",On3,2026-04-08,2026-04-08 07:20,lejuan watts
Hamad Mousa,CG,SO,6-6,175,94.14,Entered,POLY,,,On3,2026-04-12,2026-04-12 10:02,hamad mousa
Tyler Lundblade,SG,RS-SR,5-6,195,94.13,Entered,BELM,,"Greensboro, NC",On3,2026-04-04,2026-04-08 07:21,tyler lundblade
Jaylen Petty,PG,FR,,165,94.11,Expected,TTU,,"Seattle, WA",On3,2026-04-12,2026-04-12 10:02,jaylen petty
Jaquan Johnson,PG,SO,5-11,195,94.11,Committed,Bradley,Iowa State Cyclones,"Milwaukee, WI",On3,2026-04-08,2026-04-12 10:02,jaquan johnson
Kayden Edwards,CG,FR,6-3,170,94.11,Expected,TCU,,"Fort Worth, TX",On3,2026-04-08,2026-04-08 07:20,kayden edwards
Tomislav Buljan,PF,FR,6-9,,94.1,Committed,New Mexico,Maryland Terrapins,,On3,2026-04-12,2026-04-12 10:02,tomislav buljan
Sidi Gueye,PF,FR,6-11,215,94.1,Expected,ARI,,,On3,2026-04-12,2026-04-12 10:02,sidi gueye
Shon Abaev,SF,FR,7-6,185,94.1,Expected,CIN,,"Fort Lauderdale, FL",On3,2026-04-08,2026-04-08 07:20,shon abaev
Eric Reibe,C,FR,,225,94.1,Entered,UCONN,,"Potomac, MD",On3,2026-04-12,2026-04-12 10:02,eric reibe
Kaden Magwood,SG,FR,6-1,165,94.1,Expected,AUB,,"Louisville, KY",On3,2026-04-12,2026-04-12 10:02,kaden magwood
Nojus Indrusaitis,SG,SO,5-6,,94.09,Entered,Pittsburgh,,"Lemont, IL",On3,2026-04-12,2026-04-12 10:02,nojus indrusaitis
Freddie Dilione,SG,SR,5-6,195,94.09,Entered,Penn State,,"Fayetteville, NC",On3,2026-04-04,2026-04-08 07:20,freddie dilione
DJ Wagner,PG,JR,6-3,165,94.08,Expected,ARK,,"Camden, NJ",On3,2026-04-08,2026-04-08 07:20,dj wagner
Elyjah Freeman,SF,SO,6-8,,94.08,Entered,Auburn,,"Palm Beach, FL",On3,2026-04-12,2026-04-12 10:02,elyjah freeman
Devin Williams,PF,JR,6-10,200,94.06,Entered,FAU,,"Corona, CA",On3,2026-04-08,2026-04-12 10:02,devin williams
Tijan Saine Jr.,PG,RS-JR,5-10,175,94.06,Entered,WEB,,"Everett, WA",On3,2026-04-04,2026-04-08 07:20,tijan saine
Justin Pippen,SG,SO,6-3,180,94.06,Committed,CAL,,"Chatsworth, CA",On3,2026-04-08,2026-04-12 10:02,justin pippen
Denzel Aberdeen,CG,SR,5-6,180,94.05,Committed,UK,,"Orlando, FL",On3,2026-04-08,2026-04-12 10:02,denzel aberdeen
Filip Jovic,PF,FR,6-9,,94,Expected,Auburn,UCLA Bruins,,On3,2026-04-08,2026-04-12 10:02,filip jovic
Jaylen Carey,PF,JR,7-6,225,94,Entered,TENN,,"Fort Lauderdale, FL",On3,2026-04-08,2026-04-08 07:20,jaylen carey
